2026-05-25 08:46:10.593 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:12.594 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:14.595 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:16.596 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:18.598 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:20.599 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:22.600 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:24.601 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:26.604 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:28.604 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:30.606 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:32.607 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:34.608 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:36.609 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:38.612 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:40.613 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:42.615 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:44.616 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:46.617 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:48.618 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:50.625 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:52.627 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:54.630 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
